ts,alert
2025-05-01 20:41:00,1
2025-05-01 21:41:00,1
2025-05-01 22:41:00,1
2025-05-02 12:09:00,1
2025-05-02 17:18:00,1
2025-05-03 00:52:00,1
2025-05-04 01:15:00,1
2025-05-04 03:24:00,1
2025-05-04 04:30:00,1
2025-05-04 05:39:00,1
2025-05-04 07:09:00,1
2025-05-05 07:33:00,1
2025-05-05 09:50:00,1
2025-05-06 15:20:00,1
2025-05-07 04:29:00,1
2025-05-07 05:53:00,1
2025-05-07 09:31:00,1
2025-05-07 22:20:00,1
2025-05-08 00:06:00,1
2025-05-08 12:49:00,1
2025-05-09 03:01:00,1
2025-05-09 04:14:00,1
2025-05-09 10:14:00,1
2025-05-09 11:14:00,1
2025-05-09 12:15:00,1
2025-05-09 13:15:00,1
2025-05-10 04:36:00,1
2025-05-10 18:07:00,1
2025-05-11 05:01:00,1
2025-05-11 15:11:00,1
2025-05-11 17:05:00,1
2025-05-11 20:36:00,1
2025-05-12 03:53:00,1
2025-05-12 21:34:00,1
2025-05-13 16:55:00,1
2025-05-13 23:48:00,1
2025-05-14 04:04:00,1
2025-05-15 19:31:00,1
2025-05-16 20:37:00,1
2025-05-16 23:27:00,1
2025-05-17 02:02:00,1
2025-05-17 09:21:00,1
2025-05-18 08:04:00,1
2025-05-18 09:37:00,1
2025-05-18 18:34:00,1
2025-05-18 19:44:00,1
2025-05-18 22:19:00,1
2025-05-19 06:15:00,1
2025-05-19 12:42:00,1
2025-05-20 12:46:00,1
2025-05-20 13:58:00,1
2025-05-21 07:21:00,1
2025-05-21 10:35:00,1
2025-05-21 12:26:00,1
2025-05-21 14:07:00,1
2025-05-22 01:08:00,1
2025-05-22 19:29:00,1
2025-05-22 20:44:00,1
2025-05-22 22:04:00,1
2025-05-23 02:38:00,1
2025-05-23 03:55:00,1
2025-05-23 18:53:00,1
2025-05-24 10:51:00,1
2025-05-24 11:51:00,1
2025-05-24 18:46:00,1
2025-05-24 19:51:00,1
2025-05-24 22:48:00,1
2025-05-26 07:09:00,1
2025-05-26 20:51:00,1
2025-05-26 22:03:00,1
2025-05-27 01:25:00,1
2025-05-27 19:38:00,1
2025-05-27 21:31:00,1
2025-05-27 22:37:00,1
2025-05-28 15:44:00,1
2025-05-28 22:38:00,1
2025-05-29 02:45:00,1
2025-05-29 06:07:00,1
2025-05-29 07:07:00,1
2025-05-29 16:30:00,1
2025-05-30 03:37:00,1
2025-05-30 06:20:00,1
2025-05-31 14:25:00,1
2025-05-31 20:50:00,1
2025-05-31 23:51:00,1
2025-06-01 01:32:00,1
2025-06-01 03:55:00,1
2025-06-01 06:24:00,1
2025-06-01 09:57:00,1
2025-06-02 01:15:00,1
2025-06-03 05:32:00,1
2025-06-03 20:37:00,1
2025-06-04 12:15:00,1
2025-06-05 07:29:00,1
2025-06-05 09:01:00,1
2025-06-05 17:20:00,1
2025-06-05 22:25:00,1
2025-06-06 07:59:00,1
2025-06-07 23:28:00,1
2025-06-08 08:24:00,1
2025-06-08 10:45:00,1
2025-06-08 12:17:00,1
2025-06-08 13:47:00,1
2025-06-09 11:20:00,1
2025-06-10 09:26:00,1
2025-06-10 20:38:00,1
2025-06-10 23:06:00,1
2025-06-11 13:38:00,1
2025-06-12 05:25:00,1
2025-06-13 07:54:00,1
2025-06-14 04:55:00,1
2025-06-15 21:17:00,1
2025-06-15 23:28:00,1
2025-06-16 01:35:00,1
2025-06-16 04:59:00,1
2025-06-16 06:19:00,1
2025-06-17 08:33:00,1
2025-06-17 12:09:00,1
2025-06-17 14:31:00,1
2025-06-17 15:52:00,1
2025-06-17 17:25:00,1
2025-06-18 00:06:00,1
2025-06-18 15:06:00,1
2025-06-19 00:27:00,1
2025-06-20 08:55:00,1
2025-06-20 17:03:00,1
2025-06-20 18:10:00,1
2025-06-20 20:14:00,1
2025-06-20 22:29:00,1
2025-06-21 23:14:00,1
2025-06-22 03:05:00,1
2025-06-22 18:42:00,1
2025-06-23 01:16:00,1
2025-06-23 05:13:00,1
2025-06-23 08:23:00,1
2025-06-23 21:47:00,1
