ts,flip_dir
2025-05-01 20:41:00+00:00,1
2025-05-02 12:09:00+00:00,-1
2025-05-04 01:15:00+00:00,1
2025-05-04 07:09:00+00:00,1
2025-05-05 07:33:00+00:00,-1
2025-05-05 09:50:00+00:00,-1
2025-05-07 09:31:00+00:00,-1
2025-05-07 22:20:00+00:00,-1
2025-05-08 12:49:00+00:00,1
2025-05-09 03:01:00+00:00,1
2025-05-09 04:14:00+00:00,1
2025-05-09 10:14:00+00:00,1
2025-05-09 12:15:00+00:00,1
2025-05-09 13:15:00+00:00,1
2025-05-11 05:01:00+00:00,-1
2025-05-11 17:05:00+00:00,1
2025-05-11 20:36:00+00:00,-1
2025-05-12 03:53:00+00:00,1
2025-05-12 21:34:00+00:00,-1
2025-05-13 16:55:00+00:00,-1
2025-05-13 23:48:00+00:00,1
2025-05-15 19:31:00+00:00,1
2025-05-16 23:27:00+00:00,1
2025-05-17 02:02:00+00:00,1
2025-05-18 09:37:00+00:00,-1
2025-05-18 18:34:00+00:00,1
2025-05-19 06:15:00+00:00,1
2025-05-20 13:58:00+00:00,1
2025-05-21 10:35:00+00:00,1
2025-05-21 12:26:00+00:00,-1
2025-05-22 19:29:00+00:00,-1
2025-05-22 20:44:00+00:00,1
2025-05-22 22:04:00+00:00,1
2025-05-23 02:38:00+00:00,-1
2025-05-24 11:51:00+00:00,-1
2025-05-26 07:09:00+00:00,-1
2025-05-27 01:25:00+00:00,1
2025-05-27 19:38:00+00:00,1
2025-05-27 22:37:00+00:00,1
2025-05-28 15:44:00+00:00,1
2025-05-29 06:07:00+00:00,1
2025-05-29 07:07:00+00:00,1
2025-06-01 09:57:00+00:00,1
2025-06-03 05:32:00+00:00,1
2025-06-03 20:37:00+00:00,1
2025-06-05 07:29:00+00:00,1
2025-06-05 22:25:00+00:00,1
2025-06-08 08:24:00+00:00,1
2025-06-08 12:17:00+00:00,-1
2025-06-08 13:47:00+00:00,-1
2025-06-10 23:06:00+00:00,-1
2025-06-11 13:38:00+00:00,-1
2025-06-12 05:25:00+00:00,1
2025-06-15 21:17:00+00:00,1
2025-06-16 01:35:00+00:00,1
2025-06-17 17:25:00+00:00,1
2025-06-18 00:06:00+00:00,-1
2025-06-18 15:06:00+00:00,-1
2025-06-20 18:10:00+00:00,1
2025-06-22 18:42:00+00:00,1
2025-06-23 08:23:00+00:00,-1
2025-06-24 19:53:00+00:00,1
2025-06-26 08:36:00+00:00,-1
2025-06-26 23:53:00+00:00,1
2025-06-27 23:15:00+00:00,-1
2025-06-28 20:28:00+00:00,1
2025-06-29 05:42:00+00:00,1
2025-06-29 10:43:00+00:00,-1
2025-06-29 17:47:00+00:00,1
2025-06-30 22:04:00+00:00,1
2025-06-30 23:06:00+00:00,1
2025-08-06 02:53:00+00:00,1
2025-08-06 07:57:00+00:00,-1
2025-08-06 09:54:00+00:00,-1
2025-08-07 14:35:00+00:00,-1
2025-08-08 08:04:00+00:00,-1
2025-08-08 19:01:00+00:00,-1
2025-08-11 14:35:00+00:00,-1
2025-08-14 16:53:00+00:00,1
2025-08-18 04:10:00+00:00,1
2025-08-19 11:50:00+00:00,-1
2025-08-19 20:28:00+00:00,1
2025-08-20 00:08:00+00:00,1
2025-08-21 06:42:00+00:00,1
2025-08-22 07:57:00+00:00,-1
2025-08-23 04:04:00+00:00,1
2025-08-24 19:10:00+00:00,-1
2025-08-24 21:25:00+00:00,1
2025-08-27 19:54:00+00:00,1
2025-08-29 02:25:00+00:00,1
2025-08-29 09:30:00+00:00,1
2025-08-30 02:41:00+00:00,1
2025-08-30 04:41:00+00:00,-1
2025-08-30 11:53:00+00:00,-1
